fold_externo,condicion,feature,idf
1,Solo_titulos,instituciones,3.2407096892759584
1,Solo_titulos,instituto,3.2407096892759584
1,Solo_titulos,instituto profesional,3.2407096892759584
1,Solo_titulos,integración,2.904237452654745
1,Solo_titulos,integral,2.285198244248522
1,Solo_titulos,integrar,2.547562508716013
1,Solo_titulos,inteligencia,2.2110902720948
1,Solo_titulos,inteligencia artificial,2.285198244248522
1,Solo_titulos,interdisciplinarios,2.904237452654745
1,Solo_titulos,internacionales,3.463853240590168
1,Solo_titulos,investigación,2.904237452654745
1,Solo_titulos,jefe,2.904237452654745
1,Solo_titulos,junto,2.904237452654745
1,Solo_titulos,laboral,3.0583881324820035
1,Solo_titulos,legal,3.463853240590168
1,Solo_titulos,legal vigente,3.463853240590168
1,Solo_titulos,liderando,3.463853240590168
1,Solo_titulos,liderar,2.7707060600302227
1,Solo_titulos,liderar equipos,2.904237452654745
1,Solo_titulos,liderazgo,2.285198244248522
1,Solo_titulos,malla,3.2407096892759584
1,Solo_titulos,manejo,3.0583881324820035
1,Solo_titulos,manera,2.2110902720948
1,Solo_titulos,mantención,3.2407096892759584
1,Solo_titulos,mediante,2.6529230243738393
1,Solo_titulos,medio,2.7707060600302227
1,Solo_titulos,medio ambiente,3.0583881324820035
1,Solo_titulos,mejora,3.0583881324820035
1,Solo_titulos,metodologías,2.7707060600302227
1,Solo_titulos,modelos,3.0583881324820035
1,Solo_titulos,multidisciplinarios,2.0775588794702773
1,Solo_titulos,mundo,2.4522523289116878
1,Solo_titulos,nacional,2.904237452654745
1,Solo_titulos,necesidades,2.0775588794702773
1,Solo_titulos,negocio,3.0583881324820035
1,Solo_titulos,negocios,2.6529230243738393
1,Solo_titulos,nivel,2.7707060600302227
1,Solo_titulos,normativa,3.2407096892759584
1,Solo_titulos,normativa legal,3.463853240590168
1,Solo_titulos,nuevas,2.904237452654745
1,Solo_titulos,nuevos,3.0583881324820035
1,Solo_titulos,objetivos,3.0583881324820035
1,Solo_titulos,operación,3.0583881324820035
1,Solo_titulos,operar,2.904237452654745
1,Solo_titulos,oportunidades,2.904237452654745
1,Solo_titulos,organizacional,3.2407096892759584
1,Solo_titulos,organizacionales,2.6529230243738393
1,Solo_titulos,organizaciones,1.8544153281560676
1,Solo_titulos,organización,2.3652409519220585
1,Solo_titulos,partir,3.2407096892759584
1,Solo_titulos,país,2.7707060600302227
1,Solo_titulos,pensamiento,2.904237452654745
1,Solo_titulos,pensamiento crítico,3.2407096892759584
1,Solo_titulos,perfil,2.0169342576538423
1,Solo_titulos,perfil egreso,2.3652409519220585
1,Solo_titulos,permanente,2.4522523289116878
1,Solo_titulos,permitan,2.6529230243738393
1,Solo_titulos,permite,2.142097400607849
